city,state,population
Ocoee ,FL,"32,290"
Odessa ,TX,"98,801"
O'Fallon ,MO,"76,819"
Ogden ,UT,"82,865"
Oklahoma City ,OK,"551,789"
Olathe ,KS,"119,993"
Olive Branch ,MS,"31,830"
Olympia ,WA,"45,322"
Omaha ,NE,"438,646"
Ontario ,CA,"171,691"
Opelika ,AL,"26,808"
Opelousas ,LA,"23,220"
Orange ,CA,"136,392"
Oregon City ,OR,"31,404"
Orem ,UT,"93,250"
Orland Park,IL,"55,514"
Orlando ,FL,"230,519"
Ormond Beach ,FL,"37,984"
Oro Valley,AZ,"43,465"
Oshkosh ,WI,"63,679"
Ossining,NY,"23,798"
Oswego,IL,"31,504"
Ottumwa ,IA,"24,342"
Overland Park ,KS,"171,231"
Oviedo ,FL,"32,606"
Owasso ,OK,"27,467"
Owatonna ,MN,"24,855"
Owensboro ,KY,"55,516"
Oxnard ,CA,"185,717"
Pacifica ,CA,"37,739"
Paducah ,KY,"25,521"
Palatine,IL,"67,080"
Palm Bay ,FL,"100,786"
Palm Beach Gardens ,FL,"49,227"
Palm Coast ,FL,"72,316"
Palm Desert ,CA,"50,876"
Palm Springs ,CA,"47,952"
Palmdale ,CA,"143,197"
Palo Alto ,CA,"59,395"
Panama City ,FL,"36,644"
Papillion ,NE,"23,739"
Paradise,CA,"26,469"
Paragould ,AR,"24,800"
Paramount ,CA,"55,236"
Paramus,NJ,"26,128"
Paris ,TX,"26,050"
Park Ridge ,IL,"36,927"
Parker,CO,"43,767"
Parkersburg ,WV,"31,611"
Parkland ,FL,"24,017"
Parma ,OH,"77,947"
Pasadena ,TX,"146,439"
Pascagoula ,MS,"23,609"
Pasco ,WA,"55,246"
Paso Robles,CA,"28,715"
Passaic ,NJ,"66,884"
Paterson ,NJ,"145,643"
Pawtucket ,RI,"71,765"
Peabody ,MA,"51,331"
Peachtree City ,GA,"34,788"
Pearl ,MS,"24,400"
Pearland ,TX,"82,903"
Peekskill ,NY,"24,484"
Pekin ,IL,"33,430"
Pembroke Pines ,FL,"145,661"
Pensacola ,FL,"53,820"
Peoria ,AZ,"157,960"
Perris ,CA,"55,643"
Perth Amboy ,NJ,"48,742"
Petaluma ,CA,"54,666"
Petersburg ,VA,"32,916"
Pflugerville ,TX,"39,653"
Pharr ,TX,"65,258"
Phenix City ,AL,"31,125"
Philadelphia ,PA,"1,447,395"
Phoenix ,AZ,"1,567,924"
Pico Rivera ,CA,"63,138"
Pine Bluff ,AR,"50,408"
Pinellas Park ,FL,"47,173"
Pittsburg ,CA,"64,148"
Pittsburgh ,PA,"310,037"
Pittsfield ,MA,"42,652"
Placentia ,CA,"49,692"
Plainfield,IL,"36,507"
Plainfield ,NJ,"46,126"
Plano ,TX,"267,480"
Plant City ,FL,"32,761"
Plantation ,FL,"83,628"
Pleasant Grove ,UT,"33,798"
Pleasant Hill ,CA,"32,862"
Pleasanton ,CA,"66,828"
Plum,PA,"26,198"
Plymouth ,MN,"71,486"
Pocatello ,ID,"54,901"
Pomona ,CA,"152,699"
Pompano Beach ,FL,"101,943"
Ponca City ,OK,"24,507"
Pontiac ,MI,"66,095"
Port Arthur ,TX,"55,910"
Port Chester,NY,"28,171"
Port Huron ,MI,"30,869"
Port Orange ,FL,"54,616"
Port St. Lucie ,FL,"154,353"
Portage ,MI,"46,133"
Porterville ,CA,"51,830"
Portland ,OR,"557,706"
Portland ,ME,"62,561"
Portsmouth ,VA,"100,577"
Post Falls ,ID,"26,460"
Poughkeepsie ,NY,"29,654"
Poway ,CA,"48,858"
Prattville ,AL,"32,480"
Prescott ,AZ,"42,697"
Prescott Valley,AZ,"38,535"
Prichard ,AL,"27,662"
Prior Lake ,MN,"23,836"
Providence ,RI,"171,557"
Provo ,UT,"118,581"
Pueblo ,CO,"104,951"
Pullman ,WA,"26,920"
Puyallup ,WA,"36,330"
Queen Creek,AZ,"24,361"
Quincy ,MA,"92,339"
Racine ,WI,"82,196"
Rahway ,NJ,"28,624"
Raleigh ,NC,"392,552"
Ramsey ,MN,"23,734"
Rancho Cordova ,CA,"62,265"
Rancho Cucamonga ,CA,"171,176"
Rancho Palos Verdes ,CA,"41,106"
Rancho Santa Margarita ,CA,"49,591"
Rapid City ,SD,"65,491"
Raytown ,MO,"28,194"
Reading ,PA,"80,506"
Redding ,CA,"90,201"
Redlands ,CA,"69,689"
Redmond ,WA,"49,548"
Redondo Beach ,CA,"66,882"
Redwood City ,CA,"74,060"
Reedley ,CA,"23,439"
Reno ,NV,"217,016"
Renton ,WA,"62,266"
Revere ,MA,"60,204"
Rexburg ,ID,"28,028"
Reynoldsburg ,OH,"33,657"
Rialto ,CA,"98,700"
Richardson ,TX,"101,589"
Richfield ,MN,"32,728"
Richland ,WA,"46,155"
Richmond ,VA,"202,002"
Ridgecrest ,CA,"25,638"
Ridgewood,NJ,"24,163"
Rio Rancho ,NM,"79,655"
Riverside ,CA,"295,357"
Riverton ,UT,"39,751"
Riviera Beach ,FL,"36,430"
Roanoke ,VA,"92,967"
Rochester ,NY,"206,886"
Rochester ,MN,"100,413"
Rochester Hills ,MI,"69,014"
Rock Hill ,SC,"67,339"
Rock Island ,IL,"38,139"
Rockford ,IL,"157,272"
Rockledge ,FL,"24,747"
Rocklin ,CA,"52,811"
Rockville ,MD,"60,734"
Rockville Centre,NY,"24,414"
Rockwall ,TX,"35,247"
Rocky Mount ,NC,"57,010"
Rogers ,AR,"56,726"
Rohnert Park ,CA,"40,496"
Rolling Meadows ,IL,"23,463"
Rome ,GA,"36,041"
Romeoville,IL,"38,028"
Roselle,IL,"23,209"
Rosemead ,CA,"54,412"
Rosenberg ,TX,"33,595"
Roseville ,CA,"112,660"
Roswell ,GA,"87,657"
Round Lake Beach,IL,"27,855"
Round Rock ,TX,"104,446"
Rowlett ,TX,"55,780"
Roy ,UT,"35,672"
Royal Oak ,MI,"57,110"
Royal Palm Beach,FL,"30,312"
Russellville ,AR,"27,602"
Sacramento ,CA,"463,794"
Saginaw ,MI,"55,620"
Salem ,OR,"153,435"
Salina ,KS,"46,483"
Salinas ,CA,"143,640"
Salisbury ,NC,"28,972"
Salt Lake City ,UT,"181,698"
Sammamish ,WA,"40,179"
San Angelo ,TX,"91,880"
San Antonio ,TX,"1,351,305"
San Benito ,TX,"25,072"
San Bernardino ,CA,"198,580"
San Bruno ,CA,"40,315"
San Carlos ,CA,"27,238"
San Clemente ,CA,"61,465"
San Diego ,CA,"1,279,329"
San Dimas ,CA,"35,043"
San Fernando ,CA,"23,833"
San Francisco ,CA,"808,976"
San Gabriel ,CA,"40,445"
San Jacinto ,CA,"37,842"
San Jose ,CA,"948,279"
San Juan ,TX,"33,970"
San Juan Capistrano ,CA,"34,793"
San Leandro ,CA,"77,880"
San Luis ,AZ,"24,909"
San Luis Obispo ,CA,"43,636"
San Marcos ,CA,"79,114"
San Marcos ,TX,"52,927"
San Mateo ,CA,"92,256"
San Pablo ,CA,"30,729"
San Rafael ,CA,"55,602"
San Ramon ,CA,"49,161"
Sandusky ,OH,"25,688"
Sandy ,UT,"96,660"
Sandy Springs ,GA,"82,674"
Sanford ,FL,"50,634"
Sanger ,CA,"25,447"
Santa Ana ,CA,"339,130"
Santa Barbara ,CA,"86,093"
Santa Clara ,CA,"110,200"
Santa Clarita ,CA,"169,500"
Santa Cruz ,CA,"56,124"
Santa Fe ,NM,"71,831"
Santa Maria ,CA,"86,356"
Santa Monica ,CA,"87,664"
Santa Paula ,CA,"28,618"
Santa Rosa ,CA,"155,796"
Santee ,CA,"53,860"
Sarasota ,FL,"52,340"
Saratoga ,CA,"30,445"
Saratoga Springs ,NY,"28,844"
Savage ,MN,"27,692"
Savannah ,GA,"132,410"
Sayreville,NJ,"42,208"
Schaumburg,IL,"71,716"
Schenectady ,NY,"61,152"
Schererville,IN,"28,886"
Schertz ,TX,"30,669"
Scottsdale ,AZ,"235,371"
Scranton ,PA,"72,233"
Seal Beach ,CA,"24,127"
Seaside ,CA,"33,797"
SeaTac ,WA,"25,840"
Seattle ,WA,"598,541"
Seguin ,TX,"26,394"
Shaker Heights ,OH,"26,460"
Shakopee ,MN,"33,455"
Shawnee ,KS,"60,954"
Sheboygan ,WI,"47,895"
Shelton ,CT,"39,991"
Sherman ,TX,"38,077"
Sherwood ,AR,"24,542"
Shoreline ,WA,"52,005"
Shoreview ,MN,"25,111"
Shreveport ,LA,"199,729"
Sierra Vista ,AZ,"43,320"
Simi Valley ,CA,"120,543"
Sioux City ,IA,"82,807"
Sioux Falls ,SD,"154,997"
Skokie,IL,"66,620"
Slidell ,LA,"27,183"
Smyrna,TN,"37,867"
Smyrna ,GA,"49,854"
Socorro ,TX,"32,007"
Soledad ,CA,"28,124"
Somerville ,MA,"75,662"
South Bend ,IN,"103,807"
South Gate ,CA,"96,640"
South Jordan ,UT,"51,131"
South Lake Tahoe ,CA,"23,333"
South Pasadena ,CA,"24,446"
South Portland ,ME,"23,803"
South San Francisco ,CA,"62,502"
Southaven ,MS,"44,076"
Southfield ,MI,"75,392"
Southgate ,MI,"27,739"
Southlake ,TX,"26,595"
Spanish Fork ,UT,"31,538"
Sparks ,NV,"88,602"
Spartanburg ,SC,"39,584"
Spokane ,WA,"202,319"
Spokane Valley ,WA,"86,144"
Spring Hill ,TN,"26,230"
Spring Valley,NY,"26,291"
Springdale ,AR,"68,180"
Springfield ,MO,"156,206"
Springfield ,MA,"150,640"
Springfield ,IL,"117,352"
Springville ,UT,"28,520"
St. Charles ,MO,"64,386"
St. Clair Shores ,MI,"60,364"
St. Cloud ,MN,"66,948"
St. George ,UT,"72,718"
St. Joseph ,MO,"76,197"
St. Louis ,MO,"354,361"
St. Louis Park ,MN,"45,465"
St. Paul ,MN,"279,590"
St. Peters ,MO,"55,500"
St. Petersburg ,FL,"245,314"
Stamford ,CT,"119,303"
Stanton ,CA,"37,589"
Starkville ,MS,"24,187"
State College,PA,"39,419"
Statesboro ,GA,"27,158"
Statesville ,NC,"26,414"
Staunton ,VA,"23,967"
Sterling Heights ,MI,"127,160"
Stevens Point ,WI,"25,327"
Stillwater ,OK,"47,653"
Stockton ,CA,"287,037"
Stow ,OH,"33,899"
Streamwood,IL,"37,119"
Strongsville ,OH,"42,617"
Suffolk ,VA,"82,302"
Sugar Land ,TX,"80,704"
Suisun City ,CA,"26,977"
Summerville,SC,"45,193"
Sumter ,SC,"38,625"
Sun Prairie ,WI,"28,322"
Sunnyvale ,CA,"132,109"
Sunrise ,FL,"89,026"
Superior ,WI,"26,223"
Surprise ,AZ,"92,897"
Syracuse ,NY,"138,068"
Tacoma ,WA,"197,181"
Tallahassee ,FL,"171,922"
Tamarac ,FL,"59,340"
Tampa ,FL,"340,882"
Tarpon Springs ,FL,"23,369"
Taunton ,MA,"55,702"
Taylor ,MI,"60,619"
Taylorsville ,UT,"58,785"
Temecula ,CA,"97,100"
Tempe ,AZ,"175,523"
Temple ,TX,"59,654"
Temple City ,CA,"38,341"
Terre Haute ,IN,"60,007"
Texarkana ,TX,"36,611"
Texas City ,TX,"44,491"
The Colony ,TX,"42,281"
Thomasville ,NC,"26,526"
Thornton ,CO,"113,429"
Thousand Oaks ,CA,"123,091"
Tigard ,OR,"48,713"
Tinley Park,IL,"59,198"
Titusville ,FL,"44,756"
Toledo ,OH,"293,201"
Tooele ,UT,"30,120"
Topeka ,KS,"123,446"
Torrance ,CA,"140,820"
Torrington ,CT,"35,312"
Tracy ,CA,"79,196"
Trenton ,NJ,"82,883"
Trotwood ,OH,"26,039"
Troy ,MI,"80,264"
Tualatin ,OR,"26,476"
Tucson ,AZ,"541,811"
Tulare ,CA,"56,654"
Tulsa ,OK,"385,635"
Tupelo ,MS,"36,233"
Turlock ,CA,"68,404"
Tuscaloosa ,AL,"90,221"
Tustin ,CA,"71,814"
Twentynine Palms ,CA,"33,480"
Twin Falls ,ID,"42,197"
Tyler ,TX,"97,705"
Union City ,CA,"72,123"
University City ,MO,"36,289"
University Park ,TX,"24,853"
University Place ,WA,"30,345"
Upland ,CA,"72,091"
Upper Arlington ,OH,"31,878"
Urbana ,IL,"39,641"
Urbandale ,IA,"38,369"
Utica ,NY,"58,082"
Vacaville ,CA,"92,219"
Valdosta ,GA,"48,547"
Vallejo ,CA,"114,729"
Valley Stream,NY,"36,007"
Valparaiso ,IN,"30,429"
Vancouver ,WA,"163,186"
Ventura,CA,"103,706"
Vernon Hills,IL,"24,462"
Vestavia Hills ,AL,"30,892"
Vicksburg ,MS,"24,974"
Victoria ,TX,"62,558"
Victorville ,CA,"110,318"
Vineland ,NJ,"58,780"
Virginia Beach ,VA,"433,746"
Visalia ,CA,"121,040"
Vista ,CA,"91,144"
Waco ,TX,"124,009"
Wake Forest,NC,"27,068"
Walker ,MI,"23,722"
Walla Walla ,WA,"30,643"
Walnut ,CA,"30,744"
Walnut Creek ,CA,"63,486"
Waltham ,MA,"60,236"
Warner Robins ,GA,"61,336"
Warren ,MI,"133,939"
Warwick ,RI,"84,483"
Wasco ,CA,"24,628"
Washington ,DC,"591,833"
Watauga ,TX,"24,005"
Waterbury ,CT,"107,037"
Waterloo ,IA,"66,662"
Watertown ,MA,"32,365"
Watsonville ,CA,"50,442"
Waukegan ,IL,"90,788"
Waukesha ,WI,"68,008"
Wausau ,WI,"37,576"
Wauwatosa ,WI,"45,004"
Waxahachie ,TX,"28,668"
Weatherford ,TX,"26,686"
Wellington,FL,"54,530"
Wenatchee ,WA,"29,898"
Wentzville ,MO,"23,768"
Weslaco ,TX,"33,354"
West Allis ,WI,"59,416"
West Bend ,WI,"29,894"
West Chicago ,IL,"26,454"
West Covina ,CA,"105,790"
West Des Moines ,IA,"55,426"
West Fargo ,ND,"23,708"
West Haven ,CT,"52,420"
West Hollywood ,CA,"36,005"
West Jordan ,UT,"104,447"
West Lafayette ,IN,"30,847"
West Linn ,OR,"25,236"
West Memphis ,AR,"27,070"
West New York,NJ,"46,472"
West Palm Beach ,FL,"98,779"
West Sacramento ,CA,"47,511"
West Springfield ,MA,"27,459"
West Valley City ,UT,"123,447"
Westerville ,OH,"36,231"
Westfield,NJ,"29,450"
Westfield ,MA,"40,608"
Westlake ,OH,"30,546"
Westland ,MI,"78,961"
Westminster ,CO,"107,056"
Westmont,IL,"24,979"
Weston ,FL,"63,628"
Wheat Ridge ,CO,"30,894"
Wheaton ,IL,"54,465"
Wheeling,IL,"36,063"
Wheeling ,WV,"28,913"
White Bear Lake ,MN,"24,095"
White Plains ,NY,"57,342"
Whittier ,CA,"82,267"
Wichita ,KS,"366,046"
Wichita Falls ,TX,"101,202"
Wildwood ,MO,"34,195"
Wilkes-Barre ,PA,"40,932"
Williamsport ,PA,"29,456"
Wilmette,IL,"26,418"
Wilmington ,NC,"100,192"
Wilson ,NC,"48,433"
Winchester ,VA,"25,897"
Windsor,CA,"25,362"
Winona ,MN,"26,785"
Winston-Salem ,NC,"217,600"
Winter Garden ,FL,"29,385"
Winter Haven ,FL,"33,353"
Winter Park ,FL,"27,909"
Winter Springs ,FL,"32,667"
Woburn ,MA,"36,871"
Woodbury ,MN,"56,128"
Woodland ,CA,"54,567"
Woodridge,IL,"34,130"
Woodstock ,IL,"23,930"
Woonsocket ,RI,"43,268"
Wooster ,OH,"26,212"
Worcester ,MA,"175,011"
Wyandotte ,MI,"24,739"
Wylie ,TX,"37,861"
Wyoming ,MI,"70,462"
Xenia ,OH,"27,357"
Yakima ,WA,"84,074"
Yonkers ,NY,"201,588"
Yorba Linda ,CA,"65,717"
York ,PA,"40,097"
Youngstown ,OH,"72,925"
Yuba City ,CA,"61,226"
Yucaipa ,CA,"49,750"
Yuma ,AZ,"90,041"
Zanesville ,OH,"25,129"
Zion ,IL,"25,161"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
