city,state,population
Charleston ,SC,"111,978"
Charleston ,WV,"50,302"
Charlotte ,NC,"687,456"
Charlottesville ,VA,"41,487"
Chaska ,MN,"24,116"
Chattanooga ,TN,"170,880"
Chelsea ,MA,"41,577"
Chesapeake ,VA,"220,111"
Chester ,PA,"36,564"
Chesterfield ,MO,"46,064"
Cheyenne ,WY,"56,915"
Chicago ,IL,"2,853,114"
Chicago Heights ,IL,"30,586"
Chico ,CA,"83,791"
Chicopee ,MA,"54,941"
Chino ,CA,"83,031"
Chino Hills ,CA,"73,879"
Chula Vista ,CA,"219,318"
Cicero,IL,"80,414"
Cincinnati ,OH,"333,336"
Citrus Heights ,CA,"84,432"
Claremont ,CA,"35,470"
Clarksville ,TN,"119,735"
Clearfield ,UT,"27,851"
Clearwater ,FL,"105,774"
Cleburne ,TX,"29,889"
Cleveland ,OH,"433,748"
Cleveland Heights ,OH,"45,827"
Clifton ,NJ,"78,219"
Clinton ,IA,"26,407"
Clovis ,CA,"92,318"
Coachella ,CA,"39,391"
Coconut Creek ,FL,"50,436"
Coeur d'Alene ,ID,"43,360"
College Park ,MD,"26,925"
College Station ,TX,"84,128"
Colleyville ,TX,"24,428"
Collierville,TN,"39,211"
Collinsville ,IL,"25,960"
Colorado Springs ,CO,"380,307"
Colton ,CA,"50,517"
Columbia ,SC,"127,029"
Columbus ,OH,"754,885"
Commerce City ,CO,"42,473"
Compton ,CA,"93,851"
Concord ,CA,"121,160"
Conroe ,TX,"55,429"
Conway ,AR,"57,544"
Cookeville ,TN,"29,234"
Coon Rapids ,MN,"61,832"
Cooper City ,FL,"29,422"
Coppell ,TX,"39,154"
Copperas Cove ,TX,"30,710"
Coral Gables ,FL,"42,781"
Coral Springs ,FL,"125,783"
Corcoran ,CA,"25,139"
Cornelius,NC,"24,487"
Corona ,CA,"149,923"
Corpus Christi ,TX,"286,462"
Corsicana ,TX,"26,459"
Corvallis ,OR,"51,110"
Costa Mesa ,CA,"110,080"
Cottage Grove ,MN,"33,623"
Cottonwood Heights ,UT,"35,418"
Council Bluffs ,IA,"59,536"
Covina ,CA,"46,944"
Covington ,KY,"43,235"
Cranston ,RI,"79,980"
Crown Point ,IN,"24,376"
